cde_id,cde_name,variable_name,aliases,cde_definition,cde_source,bundle_name,steward_org,registration_status,keywords,preferred_question_text,cde_data_type,sources_data_type,detail_element_type,detail_nih_endorsed,ninds_raw_disease_specific_instructions,ninds_raw_input_restrictions,cde_origin,pv_codes,pv_labels,pv_definitions,pv_code_systems,pv_concept_identifiers,pv_terminology_sources,unit_of_measure,size,min_value,max_value,population,nlm_identifier,other_identifiers,cdisc_domain,cdisc_variable_name,cdisc_variable_label,dec_identifier,dec_terminology_source,dec_name,ninds_disease_specific_reference,ninds_version_number,ninds_version_date,version_date_flag,additional_instructions,disease_epilepsy,classification_epilepsy,disease_agnostic,classification_agnostic,disease_neurotrauma,classification_neurotrauma,disease_tbi,classification_tbi,disease_pte,classification_pte,disease_sci,classification_sci,domain,subdomain,category,pte_crf_name,copyright,pte_workinggroup,notes,status,cde_id_verified
C00719,Tobacco product used type,TobcoProdctUsedTyp,,"Type of tobacco product (e.g., cigarettes, cigars, chewing tobacco or pipe) used by the participant/subject",NINDS,Tobacco Product Use,NINDS,,,Type(s) of tobacco used,Value List,Alphanumeric,cde,FALSE,Choose all that apply. Response is obtained from report by participant/subject or proxy. Document whether this information was obtained prior to study enrollment or later. Recommend collection as soon as possible after visit/admission.,Multiple Pre-Defined Values Selected,collected,,"Cigars|Pipes|Chewing tobacco|Other, specify|Filtered cigarettes (Answer Q6)|Low tar cigarettes (Answer Q6)|Non-filtered cigarettes (Answer Q6)|Filtered cigarettes|Non-filtered cigarettes|Low tar cigarettes|e-cigarette or vaping products","Cigars|Pipes|Chewing tobacco|Other, specify|Filtered cigarettes (Answer Q6)|Low tar cigarettes (Answer Q6)|Non-filtered cigarettes (Answer Q6)|Filtered cigarettes|Non-filtered cigarettes|Low tar cigarettes|e-cigarette or vaping products",,,,,,,,Adult | Pediatric,09ATzG7jyhq,NINDS:C00719|caDSR:3179449v1|BRICS Variable Name:TobcoProdctUsedTyp|NLM:09ATzG7jyhq,,,,,,,"Corrigan JD, Bogner J, Holloman C. Lifetime history of traumatic brain injury among persons with substance use disorders. Brain Inj. 2012;26(2):139-50.",3,7/20/13,,,,,,,,,Y,Supplemental,Y,Recommended,,,Participant History and Family History,General Health History,,Substance Use,FALSE,CA,,,
C18770,Tobacco product used other text,TobcoProdctUsedOTH,,"The free-text field related to 'Tobacco product used type' specifying other text. Type of tobacco product (e.g. cigarettes, cigars, chewing tobacco or pipe) used by the participant/subject",NINDS,Tobacco Product Use,NINDS,,,"Other, specify",Text,Alphanumeric,cde,FALSE,Choose all that apply. Response is obtained from report by participant/subject or proxy. Document whether this information was obtained prior to study enrollment or later. Recommend collection as soon as possible after visit/admission.,Free-Form Entry,collected,,,,,,,,4000,,,Adult | Pediatric,fA3dba4B_hK,NINDS:C18770|caDSR:3170860|ISTH:7:87:30:536|BRICS Variable Name:TobcoProdctUsedOTH|NLM:fA3dba4B_hK,,,,,,,"Corrigan JD, Bogner J, Holloman C. Lifetime history of traumatic brain injury among persons with substance use disorders. Brain Inj. 2012;26(2):139-50.",1,5/27/14,,,,,,,,,Y,Supplemental,Y,Recommended,,,Participant History and Family History,General Health History,,Substance Use,FALSE,CA,,,
C00713,Drug or substance current illicit use indicator,DrgSubstCurrntIllicitUseInd,,"Indicator of participant's/subject's use of illegal drugs, prescription or over-the-counter drugs in the past year for purposes other than those for which they are meant to be used, or in large amounts",NINDS,,NINDS,,,Indicates illicit drug use in the past year,Value List,Alphanumeric,cde,FALSE,"Choose one. Response is obtained by report of the participant/subject or proxy as soon as possible after visit/admission. Document when the behavioral history was collected so as to determine whether this information was obtained prior to study enrollment or later. Do not record medications that are prescribed for medical purposes (these should be entered in the element 'medical history'.)  Collect information on substances and medications taken for reasons other than prescription, or taken more frequently or at higher doses than prescribed. Assure participant/subject that information on such use will be treated as strictly confidential. Recommend collection as soon as possible after visit/admission.  Substance abuse directly before injury may have contributed to the incident causing injury. In general, substance abuse may indicate increased risk taking behavior.",Single Pre-Defined Value Selected,collected,,Yes|No|Unknown,Yes|No|Unknown,,,,,,,,Adult | Pediatric,uC_yvNGE0ec,NINDS:C00713|caDSR:3171724|ISTH:7:87:14:530|BRICS Variable Name:DrgSubstCurrntIllicitUseInd|NLM:uC_yvNGE0ec,,,,,,,"Corrigan JD, Bogner J, Holloman C. Lifetime history of traumatic brain injury among persons with substance use disorders. Brain Inj. 2012;26(2):139-50.",3,7/20/13,,,,,,,,,Y,Supplemental,Y,Recommended,,,Participant History and Family History,General Health History,,Substance Use,FALSE,CA,,,
C00717,Drug or substance prior illicit use indicator,DrugSubstncPriorIllictUseInd,,"Indicator of participant's/subjects use of illegal drugs, prescription or over-the-counter drugs prior to the past 12 months for purposes other than those for which they are meant to be used, or in large amounts",NINDS,,NINDS,,,Indicates illicit drug use prior to the past 12 months,Value List,Alphanumeric,cde,FALSE,"Choose one.  Response is obtained by report of the participant/subject or proxy as soon as possible after visit/admission. Document when the behavioral history was collected so as to determine whether this information was obtained prior to study enrollment or later. Do not record medications that are prescribed for medical purposes (these should be entered in the element 'medical history'.)  Collect information on substances and medications taken for reasons other than prescription, or taken more frequently or at higher doses than prescribed. Assure participant/subject that information on such use will be treated as strictly confidential. Recommend collection as soon as possible after visit/admission.  Substance abuse directly before injury may have contributed to the incident causing injury. In general, substance abuse may indicate increased risk taking behavior.",Single Pre-Defined Value Selected,collected,,Yes|No|Unknown,Yes|No|Unknown,,,,,,,,Adult | Pediatric,2qtmAMj81yc,NINDS:C00717|BRICS Variable Name:DrugSubstncPriorIllictUseInd|NLM:2qtmAMj81yc,,,,,,,"Corrigan JD, Bogner J, Holloman C. Lifetime history of traumatic brain injury among persons with substance use disorders. Brain Inj. 2012;26(2):139-50.",3,7/20/13,,,,,,,,,Y,Supplemental,Y,Recommended,,,Participant History and Family History,General Health History,,Substance Use,FALSE,CA,,,
C00716,Drug or substance illicit use duration,DrgSubsIllctUseDur,,"Duration, in years, the participant/subject has used unprescribed, controlled psychoactive drugs or substances.",NINDS,,NINDS,,,Duration in years of illicit drug use,Number,Numeric Values,cde,FALSE,"Response is obtained by report of the participant/subject or proxy as soon as possible after visit/admission. Document when the behavioral history was collected so as to determine whether this information was obtained prior to study enrollment or later. Do not record medications that are prescribed for medical purposes (these should be entered in the element 'medical history'.)  Collect information on substances and medications taken for reasons other than prescription, or taken more frequently or at higher doses than prescribed. Assure participant/subject that information on such use will be treated as strictly confidential. Recommend collection as soon as possible after visit/admission. Substance abuse directly before injury may have contributed to the incident causing injury. In general, substance abuse may indicate increased risk taking behavior.",Free-Form Entry,collected,,,,,,,year,,0,99,Adult | Pediatric,wwO4qJub2yf,NINDS:C00716|caDSR:2004152|BRICS Variable Name:DrgSubsIllctUseDur|NLM:wwO4qJub2yf,,,,,,,"Corrigan JD, Bogner J, Holloman C. Lifetime history of traumatic brain injury among persons with substance use disorders. Brain Inj. 2012;26(2):139-50.",3,7/22/13,,,,,,,,,Y,Supplemental,Y,Recommended,,,Participant History and Family History,General Health History,,Substance Use,FALSE,CA,,,
C00712,Subscribed drug or substance illicitly used category,SbscrbdDrgSubIllctUseCat,,"Category of illegal drugs, prescription, or over-the-counter drugs subscribed by the participant/subject, and used for purposes other than those for which they are meant to be used, or in large amounts",NINDS,Illicit Drug or Substance Use,NINDS,,,"If YES, specify illicit drug type(s) used",Value List,Alphanumeric,cde,FALSE,Choose all that apply. Response is obtained from report by participant/subject or proxy. Document whether this information was obtained prior to study enrollment or later. Recommend collection as soon as possible after visit/admission.,Multiple Pre-Defined Values Selected,collected,,"Sedatives (e.g., sleeping pills, barbiturates, Seconal, Quaaludes, or Chloral Hydrate)|Tranquilizers or anti-anxiety drugs (e.g., Valium, Librium, muscle relaxants, or Xanax)|Painkillers (e.g., Codeine, Darvon, Percodan, Dilaudid, or Demerol)|Stimulants (e.g., Preludin, Benzedrine, Methadrine, uppers, or speed)|Marijuana, hash, THC, or grass|Cocaine or crack|Hallucinogens (e.g., Ecstasy, LSD, mescaline, psilocybin, PCP, angel dust, or peyote)|Inhalants or Solvents (e.g., amyl nitrate, nitrous oxide, glue, toluene, or gasoline|Heroin|Other, specify (e.g., Methadone, Elavil, steroids, Thorazine, or Haldol)|Stimulants: cocaine/crack|Stimulants: amphetamine, Benzedrine, Methedrine, Dexadrine, Preludin, Ritalin, uppers, speed|Narcotics: heroin, opium, morphine, methadone, codeine, Darvon, Percodan, Oxycontin, Dilaudid, Demerol/meperidine","Sedatives (e.g., sleeping pills, barbiturates, Seconal, Quaaludes, or Chloral Hydrate)|Tranquilizers or anti-anxiety drugs (e.g., Valium, Librium, muscle relaxants, or Xanax)|Painkillers (e.g., Codeine, Darvon, Percodan, Dilaudid, or Demerol)|Stimulants (e.g., Preludin, Benzedrine, Methadrine, uppers, or speed)|Marijuana, hash, THC, or grass|Cocaine or crack|Hallucinogens (e.g., Ecstasy, LSD, mescaline, psilocybin, PCP, angel dust, or peyote)|Inhalants or Solvents (e.g., amyl nitrate, nitrous oxide, glue, toluene, or gasoline|Heroin|Other, specify (e.g., Methadone, Elavil, steroids, Thorazine, or Haldol)|Stimulants: cocaine/crack|Stimulants: amphetamine, Benzedrine, Methedrine, Dexadrine, Preludin, Ritalin, uppers, speed|Narcotics: heroin, opium, morphine, methadone, codeine, Darvon, Percodan, Oxycontin, Dilaudid, Demerol/meperidine",,,,,,,,Adult | Pediatric,EB9su8MEJ1o,NINDS:C00712|caDSR:3171797|BRICS Variable Name:SbscrbdDrgSubIllctUseCat|NLM:EB9su8MEJ1o,,,,,,,"Corrigan JD, Bogner J, Holloman C. Lifetime history of traumatic brain injury among persons with substance use disorders. Brain Inj. 2012;26(2):139-50.",3,7/22/13,,,,,,,,,Y,Supplemental,Y,Recommended,,,Participant History and Family History,General Health History,,Substance Use,FALSE,CA,,,
C18670,Subscribed drug or substance illicitly used other text,SbscrbdDrgSubIllctUseCatOTH,,"The free-text field related to 'Drug or substance illicitly used category' specifying other text. Category of illegal drugs, prescription, or over-the-counter drugs the participant/subject used for purposes other than those for which they are meant to be used, or in large amounts",NINDS,Illicit Drug or Substance Use,NINDS,,,"Other, specify",Text,Alphanumeric,cde,FALSE,Choose all that apply. Response is obtained from report by participant/subject or proxy. Document whether this information was obtained prior to study enrollment or later. Recommend collection as soon as possible after visit/admission.,Free-Form Entry,collected,,,,,,,,4000,,,Adult | Pediatric,kcAswFphnYN,NINDS:C18670|caDSR:3171797|ISTH:7:87:14:532|BRICS Variable Name:SbscrbdDrgSubIllctUseOTH|NLM:kcAswFphnYN,,,,,,,"Corrigan JD, Bogner J, Holloman C. Lifetime history of traumatic brain injury among persons with substance use disorders. Brain Inj. 2012;26(2):139-50.",1.1,6/24/22,,,,,,,,,Y,Supplemental,Y,Recommended,,,Participant History and Family History,General Health History,,Substance Use,FALSE,CA,,,
C00327,Prior traumatic injury indicator,PriorTraumInjryInd,,"Indicator of prior traumatic injury found either historically, previous emergency department visits, radiographic findings, or signs or symptoms at time of presentation.",NINDS,,NINDS,,,Prior traumatic injury indicator,Value List,Alphanumeric,cde,FALSE,Choose one. Document whether this information was obtained prior to study enrollment or later.  Recommend collection as soon as possible after visit/admission from subject or proxy. This element is recommended for pediatric studies.,Single Pre-Defined Value Selected,collected,,Yes|No|Unknown,Yes|No|Unknown,,,,,,,,Adult | Pediatric,Q8aSE67_qA0,NINDS:C00327|BRICS Variable Name:PriorTraumInjryInd|NLM:Q8aSE67_qA0,,,,,,,No references available,3,7/19/13,,,,,,,,,Y,Supplemental,Y,Core,,,Disease/Injury Related Events,History of Disease/Injury Event,,TBI History,FALSE,CA,left out but related/ bundeled to Core,,
C00328,Prior traumatic injury type,PriorTraumInjryType,,"General location of traumatic injury, if evidence of prior traumatic injury",NINDS,,NINDS,,,Prior traumatic injury type,Value List,Alphanumeric,cde,FALSE,Choose all that apply. This element is recommended for pediatric studies.,Multiple Pre-Defined Values Selected,collected,,Brain Injury|Spine Injury|Other Extracranial Injury,Brain Injury|Spine Injury|Other Extracranial Injury,,,,,,,,Adult | Pediatric,7kg4xYAAWDk,NINDS:C00328|BRICS Variable Name:PriorTraumInjryType|NLM:7kg4xYAAWDk,,,,,,,No references available,3,7/19/13,,,,,,,,,Y,Supplemental,Y,Core,,,Disease/Injury Related Events,History of Disease/Injury Event,,TBI History,FALSE,CA,left out but related/ bundeled to Core,,
C05400,Injury date time,InjDateTime,,"Date (and time, if applicable and known) of injury",NINDS,,NINDS,,,Injury date and time,Datetime,Date or Date & Time,cde,FALSE,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",Free-Form Entry,collected,,,,,,,,,,,Adult | Pediatric,uabhbA5qpUF,NINDS:C05400|BRICS Variable Name:InjDateTime|NLM:uabhbA5qpUF,,,,,,,No references available,3,7/20/13,,Core,,,,,,,Y,Core,Y,Core,,,Disease/Injury Related Events,History of Disease/Injury Event,,TBI History,FALSE,CA,,,
C17404,Injury elapsed time,InjElapsedTime,,The elapsed time (in minutes) from the time of injury,NINDS,,NINDS,,,The elapsed time (in minutes) from the time of injury,Number,Numeric Values,cde,FALSE,"Indicate the time since injury occurred following definition provided per protocol. Note: Accurate determination of time since injury is critical for gauging patient progress and for assessing eligibility for acute phase studies. The need for TBI patients to be transferred from an initial receiving hospital to another hospital may delay definitive care and consequently impact outcome adversely, and longer transport times delay definitive treatment.",Free-Form Entry,collected,,,,,,,minute,,0,,Adult | Pediatric,QPz9CeQsyVP,NINDS:C17404|BRICS Variable Name:InjElapsedTime|NLM:QPz9CeQsyVP,,,,,,,No references available,1,7/20/13,,,,,,,,,Y,Core,Y,Core,,,Disease/Injury Related Events,History of Disease/Injury Event,,TBI History,FALSE,CA,,,
C05422,Injury cause type,InjCauseTyp,,The type as related to the classification of the external cause of the injury,NINDS,Injury Cause and Classification,NINDS,,,Cause of TBI,Value List,Alphanumeric,cde,FALSE,Choose all that apply from codelist and/or fill in appropriate ICD-9-CM e-codes below,Multiple Pre-Defined Values Selected,collected,,"Railway accidents|Motor vehicle traffic accidents|Motor vehicle nontraffic accidents|Other road vehicle accidents|Water transport accidents|Air and space transport accidents|Vehicle accidents not elsewhere classifiable|Accidental poisoning by drugs, medicinal substances, and biologicals|Accidental poisoning by other solid and liquid substances, gases, and vapors|Misadventures to patients during surgical and medical care|Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure|Accidental falls|Accidents caused by fire and flames|Accidents due to natural and environmental factors (e900-e909)|Accidents caused by submersion, suffocation, and foreign bodies|Other accidents|Late effects of accidental injury|Drugs, medicinal and biological substances causing adverse effects in therapeutic use|Suicide and self-inflicted injury|Homicide and injury purposely inflicted by other persons|Legal intervention|Terrorism|Injury undetermined whether accidentally or purposely inflicted|Injury resulting from operations of war","Railway accidents (e800-e807)|Motor vehicle traffic accidents (e810-e819)|Motor vehicle nontraffic accidents (e820-e825)|Other road vehicle accidents (e826-e829)|Water transport accidents (e830-e838)|Air and space transport accidents (e840-e845)|Vehicle accidents not elsewhere classifiable (e846-e848)|Accidental poisoning by drugs, medicinal substances, and biologicals (e850-e858)|Accidental poisoning by other solid and liquid substances, gases, and vapors (e860-e869)|Misadventures to patients during surgical and medical care (e870-e876)|Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure (e878-e879)|Accidental falls (e880-e888)|Accidents caused by fire and flames (e890-e899)|Accidents due to natural and environmental factors (e900-e909)|Accidents caused by submersion, suffocation, and foreign bodies (e910-e915)|Other accidents (e916-e928)|Late effects of accidental injury (e929)|Drugs, medicinal and biological substances causing adverse effects in therapeutic use (e930-e949)|Suicide and self-inflicted injury (e950-e959)|Homicide and injury purposely inflicted by other persons (e960-e969)|Legal intervention (e970-e978)|Terrorism (e979)|Injury undetermined whether accidentally or purposely inflicted (e980-e989)|Injury resulting from operations of war (e990-e999",,,,,,,,Adult | Pediatric,c4cd1zCks0h,NINDS:C05422|BRICS Variable Name:InjCauseTyp|NLM:c4cd1zCks0h,,,,,,,"Butcher I, McHugh GS, Lu J, et al. Prognostic value of cause of injury in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2):281-286. See http://www.icd9data.com",3,7/20/13,,Core,,,,,,,Y,Basic,Y,Core,,,Disease/Injury Related Events,History of Disease/Injury Event,,TBI History,FALSE,CA,left out but related/ bundeled to Core,,
